User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
bill,@notlegab,2020-01-02T15:05:08.000Z,"Tell me you'd want same care I got for yourself and I will 
STFU and go away! 
You SIR are the one seeding 
HOPELESSNESS &
WORTHLESSNESS among VETERANS 
PRETENDING VA DOESN'T HAVE SERIOUS PROBLEMS 
@realDonaldTrump
 
Can Veterans get a little help  here?Quote Tweet
VHA Acting Under Secretary Dr. Richard Stone
@USHVHA
 ¬∑ Jan 2, 2020
We have improved the transparency of our health care facility performance measuresîmaking it easier for #Veterans to compare their local #VA facilities with non-VA hospitals in their communities: https://blogs.va.gov/VAntage/69375/helping-veterans-choose-quality-healthcare-providers-about-transparency/¶",3,1,2
T e e W e e z y,@Tang1967,2020-01-02T23:55:06.000Z,"I will compare 
@DeptVetAffairs
 to service 
@kfc
 . Chicken and grease . Enough said, 
@kfc
 wins every time.",,1,
TBSGaPeach,@Tracysnps,2020-01-02T23:25:48.000Z,"Ms. M, does the timing seem suspect that on the sane day devastating emails are released, other topics popping up using words: Iran, preemptive strike, SCOTUS, roe v wade; appear in the news....distraction anyone?Ms. M, does the timing seem suspect that on the sane day devastating emails are released, other topics popping up using words: Iran, preemptive strike, SCOTUS, roe v wade; appear in the news....distraction anyone?",5,3,13
J. Lang Wood,@JLangWood,2020-01-02T23:59:48.000Z,"@RealDonaldTrump
 has a whole 'distraction machine' working full time, 24/7 to try to divert from his obvious wrongdoing.",,3,6
#ThePersistence,@ScottPresler,2020-01-02T22:23:39.000Z,"Yesterday, I was invited to Nebraska. 

Today, I got a phone call for Denver, Colorado (Summer 2020). 

For the next 4 months, I'll be in a new city almost every single weekend teaching Republicans how to register new voters.

I'm putting in the work to re-elect 
@realDonaldTrump
.",646,3.6K,13.7K
Blanca,@blfogleman,2020-01-02T23:51:54.000Z,We need a lot of work in Texas or we will lose Texas! Please do not take Texas for granted! Especially San Antonio and Austin!,,,
psyike,@psyike,2020-01-02T23:59:24.000Z,"Sad to see you doubting this... You know. It might actually help you someday to admit that you are not God given authority in morals and politics and what not, and that there is possibility of you being actually wrong. I know it's abstract thought for you, but give it a go...Sad to see you doubting this... You know. It might actually help you someday to admit that you are not God given authority in morals and politics and what not, and that there is possibility of you being actually wrong. I know it's abstract thought for you, but give it a go...",1,,
George Conway,@gtconway3d,2020-01-02T14:23:24.000Z,"Drip, drip, drip.  

GOP senators: You can't run or hide from reality by deep-sixing a trial.  

Youîand the publicîneed to hear all of the evidence of #IMPOTUS 
@realDonaldTrump
's wrong-doing.  And then you need to do the right thing by the Constitution and remove him.Quote Tweet
Just Security
@just_security
 ¬∑ Jan 2, 2020
EXCLUSIVE: @just_security has obtained unredacted versions of Trump administration emails about Ukraine aid.

They show the Pentagon repeatedly sounded the alarm that the freeze on funding was in violation of the law.

@K8brannen reports:

https://justsecurity.org/67863/exclusive-unredacted-ukraine-documents-reveal-extent-of-pentagons-legal-concerns/¶",605,10.3K,34.2K
Dean J. Marchant,@cnnpost,2020-01-02T23:56:30.000Z,"The ball is in the Senate's court. ""All"" of them were elected  with a duty to ""America"" not to a party or president.
Does signing a pledge of support without prior knowledge of prior political activities a worthy pledge ?
Is supporting that pledge considered country first?",,1,2
Don,@Ramonzmania,2020-01-02T23:03:29.000Z,But the refillable liquids aren't covered? So just disposables are included? Kids aren't smoking disposables...But the refillable liquids aren't covered? So just disposables are included? Kids aren't smoking disposables...,2,,
