User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas A. Lukaszuk,@LukaszukAB,2019-03-01T14:57:18.000Z,"If you missed our 
@ABPrimetime
 Political Panel discussion on  
@JustinTrudeau
 and 
@Puglaas
 , 
@RachelNotley
 in Ottawa and 
@jkenney
 and his crooked Kamikaze Campaign, take a look:   https://alberta.ctvnews.ca/video?clipId=1617546&binId=1.3892985&playlistPageNum=1¶ #AbLeg #CDNPoliAlberta Primetime for Thursday, February 28, 2019
Alberta Primetime for Thursday
alberta.ctvnews.ca",5,37,45
OverPatriarchy,@OverPatriarchy,2019-03-01T23:44:05.000Z,"very insightful and appreciated.. you described very much how I thought things work. I think if she couldn't reconcile the hats she was wearing, she had the option to resign and she should have.",,1,11
Bill Brooks,@Thinking_Brooks,2019-03-01T23:30:05.000Z,"Why is the current Liberal Government of 
@JustinTrudeau
 so determined to bring these types of war criminals to our country? NO LIBERAL SEATS IN 2019Quote Tweet
Lisa Raitt
@lraitt
 ∑ Mar 1, 2019
A UK Labour MP tells us the story that Å¶@cafreelandÅ© or Ralph Goodale would not. The Liberal govt had a plan and a deal to bring an ISIS terrorist to Canada. But was stopped by the US or the UK.  https://dailymail.co.uk/news/article-6758131/Plans-smuggle-Jihadi-Jack-Syria-Canada-collapse-minute.html¶",17,76,116
Mike Jagger,@JaggerMickOZ,2019-03-01T21:19:44.000Z,"Nat King Cole...

UNsustainables
In ev ry way
UNsustainables
That's what they say

.Nat King Cole...

UNsustainables
In ev ry way
UNsustainables
That's what they say

.",7,10,18
Wind_Energy's_Absurd,@Real_BWEA,2019-03-01T22:19:45.000Z,"It's right up our street.  'In this time of anger and misery we need to laugh or we'd go insane. We fight wind farms - that's what we do - but we get through with jokes, satire, mickey taking and anything else that makes the job a little easier.' - part of WEA mission statementIt's right up our street.  'In this time of anger and misery we need to laugh or we'd go insane. We fight wind farms - that's what we do - but we get through with jokes, satire, mickey taking and anything else that makes the job a little easier.' - part of WEA mission statement",2,3,8
ùì°ùì∏ùìÆùìµùì∏ùìØ ùìëùì∏ùìÆùìª AKA Roy,@RoyPentland,2019-03-01T22:23:53.000Z,"Excellent WEA! When we all enjoyed stable energy grids, with over capacity, inertia and well managed frequency balance, with cheap prices, we didn't need to notice them. Then this crap came along!",,5,10
Alena Sather,@picksy26,2019-03-01T19:56:13.000Z,"Why do we have two sets of laws-one for the rich & one for everyone else.Thank you Jody for standing up for what is fair & correct. Our govt has lost their morals.Justin has lost my trust & I won't forget #SNCLavalinScandal #JodyWilsonRaybould #atissue 
@JustinTrudeau",1,6,18
Mike Maka,@Mike_Maka,2019-03-01T21:11:16.000Z,"February was a great month for housing in Canada!:
12 announcements
14 new projects
4046 new units 
The 
@JustinTrudeau
 Government working hard to ensure every Canadian has a safe and affordable place to call home. #cdnpoli https://cmhc-schl.gc.ca/en/media-newsroom¶Justin Trudeau and 2 others",6,16,33
Mr. Jake McBride,@ExpatJake,2019-03-01T20:47:21.000Z,"@MMcLeodNWT
 appears to have learned his politicking from 
@JustinTrudeau
 , Butts & Telford .. can't wait till 
@Puglaas
 schools these fools ...@MMcLeodNWT
 appears to have learned his politicking from 
@JustinTrudeau
 , Butts & Telford .. can't wait till 
@Puglaas
 schools these fools ...",1,6,22
Festivus Co-ordinator and HUMAN Fund CEO,@BudWitzke,2019-03-01T21:10:52.000Z,Looks like another thug that gives hookers the OK to be used no matter the cost. #SNCLavalinScandal,1,2,9
Festivus Co-ordinator and HUMAN Fund CEO,@BudWitzke,2019-03-01T23:57:01.000Z,He knew when to quit. be like Rick #SNCLavalinScandal #TrudeauMustGoHe knew when to quit. be like Rick #SNCLavalinScandal #TrudeauMustGo,1,3,13
True North,@OhCanadiana,2019-03-01T21:10:02.000Z,"The litany of crimes, embarrassments, shakedowns and out and out ignorance from 
@JustinTrudeau
 have me questioning his mental health!

How can anyone who is in their right mind be so devoid of common decency...
#NotFitToGovern
#TrudeauMustResign",,4,8
Barbara Durkin,@Barbarajdurkin,2019-03-01T16:14:24.000Z,"UK: Decommissioning 37 offshore wind farms UK @
Ç¨4.12 bn or US $5.45 bn
cable situ
https://windpoweroffshore.com/article/1487845/offshore-decommissioning-cost-uk-36bn¶

Department of Business, Energy and Industrial Strategy
Cost Estimation and Liabilities in Decommissioning Offshore Wind Installations
Public Report
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/725316/Cost_and_liabilities_of_OWF_decommissioning_public_report.pdf¶UK: Decommissioning 37 offshore wind farms UK @
Ç¨4.12 bn or US $5.45 bn
cable situ
https://windpoweroffshore.com/article/1487845/offshore-decommissioning-cost-uk-36bn¶

Department of Business, Energy and Industrial Strategy
Cost Estimation and Liabilities in Decommissioning Offshore Wind Installations
Public Report
https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/725316/Cost_and_liabilities_of_OWF_decommissioning_public_report.pdf¶",4,16,13
Mhehed Zherting,@MhehedZherting,2019-03-01T21:15:41.000Z,"""UK: Decommissioning 37 offshore wind farms .... could cost the government between £1.28 billion (Ç¨1.44 billion) and £3.64 billion (Ç¨4.12 billion), a new report has revealed.""

That report is untrue!

Those costs are 100% extracted from Taxpayers' pockets.",1,6,8
