User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
sohogrl_84,@sohogrl_84,2019-03-01T23:57:27.000Z,"If you don't care to be misinterpreted it's too late in the game now. You spoke those words taking Kim Jong Un ""at his word"" regarding the horrific torture and death of poor Otto Warmbier. A young man cruely murdered for the grave 'crime' of stealing a poster off a wall.If you don't care to be misinterpreted it's too late in the game now. You spoke those words taking Kim Jong Un ""at his word"" regarding the horrific torture and death of poor Otto Warmbier. A young man cruely murdered for the grave 'crime' of stealing a poster off a wall.",1,1,6
Edward H,@edward_horejs,2019-03-01T23:58:40.000Z,"Is it just me, or does it seem like 
@realDonaldTrump
 is in a new type of death spiral we've only hoped would happen?  There appears to be momentum now?   This week was a special kind of super bad.",3,1,7
Scott Adams,@ScottAdamsSays,2019-03-01T23:57:54.000Z,"If you were right that Trump would be President, I'm sure you are just as smart about this.",3,1,19
Wayne Dunlap,@wdunlap,2019-03-01T23:12:03.000Z,President Trump is creating HISTORIC ADVANCES! Korea now talking Better trade deals w/ top trading partners (Canada Mexico China & Europe) Stopping ISIS Bringing to end Wars in Syria & Afghanistan Eliminating dependence on foreign oil & NATO allies paying more of their fair sharePresident Trump is creating HISTORIC ADVANCES! Korea now talking Better trade deals w/ top trading partners (Canada Mexico China & Europe) Stopping ISIS Bringing to end Wars in Syria & Afghanistan Eliminating dependence on foreign oil & NATO allies paying more of their fair share,770,335,2.3K
Pete Williams,@pete51754,2019-03-01T23:57:28.000Z,"I think that is what Trump supporters call ""alternative facts""",,,23
pickles,@pick2frac2,2019-03-01T23:55:00.000Z,"Lol...classic ""Christopher""Lol...classic ""Christopher""",,,8
Crjxn,@carolyn16677630,2019-03-01T23:56:11.000Z,Cohen is a liar and Democrats knew that. They wasted tax dollars to spread lies... it needs to stop.  I don't want my tax dollars being spent on this garbage...Cohen is a liar and Democrats knew that. They wasted tax dollars to spread lies... it needs to stop.  I don't want my tax dollars being spent on this garbage...,1,,3
mike barre,@MikeBarre,2019-03-01T23:28:13.000Z,"Ambassador Chris Stevens, Glen Doherty, Sean Smith, Tyrone Woods, remember them? Hilary & Obama got them murdered. And what happened? Oh yea she got to run for President. When you call them out, I'll call Trump out.Ambassador Chris Stevens, Glen Doherty, Sean Smith, Tyrone Woods, remember them? Hilary & Obama got them murdered. And what happened? Oh yea she got to run for President. When you call them out, I'll call Trump out.",9,1,
Jim Cranberry,@SirTipton,2019-03-01T23:59:39.000Z,How so? Let's see some genuine proof that anything they did or didn't do contributed to or directly caused the deaths of these people.,,,2
Waseem Jugon,@wjugon85,2019-03-01T23:53:51.000Z,"#beyondthecurve was intriguing to see the thoughts of those flat earth theorists and at the same time mind numbingly painful! I now understand how 
@realDonaldTrump
 was elected as #POTUS !",,,3
Eric Mawer,@EricMawer,2019-03-01T23:55:22.000Z,"Excellent idea.  Releasing them will prove just what a non-issue they are, to everyone's satisfaction.",1,,8
Jamz,@JamiHus1,2019-03-01T23:56:55.000Z,It's the very tactic Anjem Choudary and Abu Hamza used. And folk like you were  screaming for them to get arrested. They eventually were. And so will Tommy. They're all hate preachersIt's the very tactic Anjem Choudary and Abu Hamza used. And folk like you were  screaming for them to get arrested. They eventually were. And so will Tommy. They're all hate preachers,,1,4
Kofi Jones,@misskofi,2019-03-01T23:54:43.000Z,"Have you no decency? Nevermind. We all know the answer to that. On behalf of an embarrassed nation, we apologize to Otto's family.Have you no decency? Nevermind. We all know the answer to that. On behalf of an embarrassed nation, we apologize to Otto's family.",2,,42
Dawn Westlake,@dawn_westlake,2019-03-01T23:55:38.000Z,You love using people as props. #psychopotus #resignYou love using people as props. #psychopotus #resign,,,43
Christina Sanchez Fischer,@chrisfish815,2019-03-01T23:45:08.000Z,"Thank you 
@MiaFarrow
! I am appalled that 
@realDonaldTrump
 turned a blind eye to the treatment of Otto and now tries to backtrack. Lies, lies, lies is all Trump ever says. So disappointed in our government.Thank you 
@MiaFarrow
! I am appalled that 
@realDonaldTrump
 turned a blind eye to the treatment of Otto and now tries to backtrack. Lies, lies, lies is all Trump ever says. So disappointed in our government.",1,,1
